"","cell","year"
"1452",8640,2012
"1453",8641,2012
"1454",8947,2012
"1455",8640,2014
"1456",8641,2014
"1457",8642,2014
"1458",8946,2014
"1459",8947,2014
"1460",8948,2014
"1461",8644,2012
"1462",8339,2012
"1463",8645,2012
"1464",8339,2014
"1465",8645,2014
"1466",8338,2015
"1467",8644,2015
"1468",8645,2015
"1469",8646,2015
"1470",8646,2014
"1471",8952,2014
"1472",8645,2016
"1473",8646,2016
"1474",8647,2016
"1475",8645,2023
"1476",8646,2023
"1477",8647,2023
"1478",8650,2018
"1479",8956,2018
"1480",8665,2024
"1481",8386,2018
"1482",8387,2018
"1483",8692,2018
"1484",8693,2018
"1485",8692,2020
"1486",8693,2020
"1487",8697,2019
"1488",9003,2019
"1489",8703,2024
"1490",8397,2024
"1491",8398,2024
"1492",8704,2024
"1493",8706,2012
"1494",8707,2012
"1495",8706,2020
"1496",8707,2020
"1497",8708,2019
"1498",8709,2017
"1499",8709,2021
"1500",8710,2024
"1501",8714,2016
"1502",8715,2016
"1503",8783,2024
"1504",8483,2024
"1505",8788,2024
"1506",8789,2024
"1507",8483,2019
"1508",8484,2019
"1509",8789,2019
"1510",8790,2019
