"","cell","year"
"819",4351,2011
"820",4350,2012
"821",4351,2012
"822",4656,2012
"823",4657,2012
"824",4351,2015
"825",4352,2015
"826",4350,2016
"827",4351,2016
"828",4351,2018
"829",4350,2020
"830",4351,2020
"831",4350,2021
"832",4351,2021
"833",4656,2021
"834",4657,2021
"835",4350,2023
"836",4351,2024
"837",4352,2018
"838",4657,2023
"839",4658,2023
"840",4066,2014
"841",4067,2014
"842",4372,2014
"843",4373,2014
"844",4066,2015
"845",4067,2015
"846",4372,2015
"847",4373,2015
"848",4066,2017
"849",4372,2017
"850",4066,2020
"851",4067,2020
"852",4372,2020
"853",4373,2020
"854",4066,2022
"855",4067,2022
"856",4372,2022
"857",4373,2022
"858",4657,2018
"859",4658,2018
"860",4658,2013
"861",4660,2012
"862",4661,2012
"863",4966,2012
"864",4967,2012
"865",4661,2023
"866",4967,2023
"867",4663,2012
"868",4664,2012
"869",4663,2014
"870",4663,2015
"871",4663,2016
"872",4664,2016
"873",4663,2017
"874",4954,2021
"875",4955,2021
"876",5260,2021
"877",5261,2021
"878",4964,2011
"879",4964,2016
"880",4964,2018
"881",4963,2020
"882",4964,2020
"883",5269,2020
"884",5270,2020
"885",4964,2024
"886",4965,2016
"887",4965,2017
"888",4965,2019
"889",4965,2022
"890",4965,2023
"891",5272,2012
"892",4966,2023
"893",5272,2023
"894",4967,2024
"895",4968,2014
"896",4968,2018
"897",4968,2020
"898",5274,2020
"899",4968,2024
"900",4968,2015
"901",4969,2015
"902",4969,2024
"903",5271,2012
"904",5577,2012
"905",5271,2014
"906",5271,2016
"907",5272,2016
"908",5577,2016
"909",5578,2016
"910",5271,2017
"911",5577,2017
"912",5271,2022
"913",5272,2015
"914",4966,2024
"915",5272,2024
"916",5273,2014
"917",5274,2014
"918",5273,2015
"919",5274,2015
"920",5273,2018
"921",5274,2018
"922",5273,2020
"923",5274,2011
"924",5275,2011
"925",5274,2012
"926",5274,2017
"927",5274,2019
"928",4968,2022
"929",4969,2022
"930",5273,2022
"931",5274,2022
"932",5275,2022
"933",5275,2012
"934",5275,2014
"935",5275,2018
"936",5276,2011
"937",5276,2019
"938",5276,2021
"939",5278,2020
"940",5279,2020
"941",5279,2013
"942",5280,2013
"943",4974,2017
"944",5279,2017
"945",5280,2017
"946",5271,2010
"947",5577,2010
"948",5576,2012
"949",5882,2012
"950",5883,2012
"951",5577,2014
"952",5883,2014
"953",5576,2016
"954",5883,2016
"955",5883,2017
"956",5577,2018
"957",5883,2018
"958",5577,2019
"959",5578,2019
"960",5577,2020
"961",5577,2022
"962",5577,2024
"963",5578,2024
"964",5577,2011
"965",5578,2011
"966",5883,2011
"967",5884,2011
"968",5578,2012
"969",5884,2012
"970",5578,2015
"971",5578,2017
"972",5578,2018
"973",5884,2018
"974",5883,2019
"975",5884,2019
"976",5578,2020
"977",5578,2021
"978",5577,2023
"979",5578,2023
"980",5884,2023
"981",5273,2012
"982",5579,2012
"983",5885,2012
"984",5579,2018
"985",5580,2012
"986",5579,2013
"987",5580,2013
"988",5580,2015
"989",5580,2017
"990",5580,2019
"991",5580,2020
"992",5580,2023
"993",5274,2010
"994",5275,2010
"995",5580,2010
"996",5581,2010
"997",5580,2011
"998",5581,2011
"999",5581,2012
"1000",5581,2014
"1001",5581,2015
"1002",5275,2017
"1003",5581,2017
"1004",5582,2017
"1005",5580,2018
"1006",5581,2018
"1007",5275,2020
"1008",5581,2020
"1009",5582,2020
"1010",5581,2021
"1011",5887,2021
"1012",5581,2022
"1013",5581,2023
"1014",5582,2023
"1015",5275,2024
"1016",5580,2024
"1017",5581,2024
"1018",5582,2012
"1019",5581,2016
"1020",5582,2016
"1021",5582,2018
"1022",5582,2021
"1023",5276,2022
"1024",5582,2022
"1025",5583,2012
"1026",5882,2010
"1027",5883,2010
"1028",5883,2013
"1029",6189,2013
"1030",5578,2014
"1031",5884,2014
"1032",5883,2015
"1033",5884,2015
"1034",5883,2020
"1035",5577,2021
"1036",5883,2021
"1037",5883,2022
"1038",6189,2015
"1039",6190,2015
"1040",5884,2017
"1041",6189,2017
"1042",6190,2017
"1043",6189,2018
"1044",6190,2018
"1045",5885,2010
"1046",5886,2010
"1047",5885,2014
"1048",5886,2014
"1049",5885,2016
"1050",5886,2016
"1051",5896,2021
"1052",5897,2021
"1053",6202,2021
"1054",6203,2021
"1055",5884,2010
"1056",6189,2010
"1057",6190,2010
"1058",6189,2011
"1059",6190,2011
"1060",6189,2012
"1061",5884,2013
"1062",6190,2013
"1063",6189,2014
"1064",6190,2014
"1065",6189,2016
"1066",6190,2016
"1067",6189,2022
"1068",6190,2012
"1069",5884,2016
"1070",6190,2021
"1071",6192,2010
"1072",6193,2010
"1073",6192,2011
"1074",6193,2011
"1075",6192,2017
"1076",6193,2017
"1077",6192,2020
"1078",6193,2020
"1079",6192,2021
"1080",6193,2021
"1081",6192,2022
"1082",6193,2022
"1083",5896,2015
"1084",5897,2015
"1085",6202,2015
"1086",6203,2015
"1087",6202,2023
"1088",5897,2018
"1089",6203,2018
"1090",5896,2022
"1091",5897,2022
"1092",6202,2022
"1093",6203,2022
"1094",6496,2011
"1095",6802,2011
"1096",6496,2012
"1097",6802,2012
"1098",6496,2017
"1099",6496,2018
"1100",6496,2019
"1101",6496,2020
"1102",6496,2021
"1103",6496,2024
"1104",6498,2020
"1105",6499,2017
"1106",6500,2017
"1107",6499,2020
"1108",6499,2011
"1109",6500,2011
"1110",6194,2017
"1111",6194,2020
"1112",6500,2020
"1113",6499,2021
"1114",6500,2021
"1115",6500,2022
"1116",6499,2023
"1117",6500,2023
"1118",6806,2023
"1119",6500,2024
"1120",6806,2024
"1121",6200,2016
"1122",6201,2016
"1123",6202,2016
"1124",6506,2016
"1125",6507,2016
"1126",6508,2016
"1127",6514,2017
"1128",6513,2018
"1129",6514,2018
"1130",6513,2019
"1131",6514,2019
"1132",6514,2021
"1133",6514,2022
"1134",6514,2023
"1135",6802,2013
"1136",7108,2013
"1137",6802,2014
"1138",6801,2015
"1139",6802,2015
"1140",6496,2016
"1141",6801,2016
"1142",6802,2016
"1143",6801,2017
"1144",6802,2017
"1145",6497,2018
"1146",6802,2018
"1147",6803,2018
"1148",6801,2019
"1149",6802,2019
"1150",6801,2020
"1151",6802,2020
"1152",6802,2024
"1153",7108,2024
"1154",6806,2019
"1155",6807,2019
"1156",7112,2019
"1157",7113,2019
"1158",6807,2023
"1159",6807,2024
"1160",6807,2013
"1161",7113,2013
"1162",6807,2016
"1163",7113,2016
"1164",6806,2018
"1165",6807,2018
"1166",7112,2018
"1167",7113,2018
"1168",7112,2024
"1169",7113,2024
"1170",6811,2022
"1171",6812,2022
"1172",7117,2022
"1173",7118,2022
"1174",6811,2011
"1175",6812,2011
"1176",7117,2011
"1177",7118,2011
"1178",6811,2012
"1179",6812,2012
"1180",7117,2012
"1181",7118,2012
"1182",6812,2013
"1183",6812,2014
"1184",6812,2015
"1185",6811,2017
"1186",6812,2017
"1187",7117,2017
"1188",7118,2017
"1189",6505,2018
"1190",6506,2018
"1191",6811,2018
"1192",6812,2018
"1193",7117,2018
"1194",7118,2018
"1195",6812,2020
"1196",6811,2023
"1197",6812,2023
"1198",7117,2023
"1199",7118,2023
"1200",7058,2020
"1201",7108,2012
"1202",7108,2014
"1203",7108,2017
"1204",7108,2019
"1205",7108,2022
"1206",7414,2022
"1207",7108,2020
"1208",7109,2020
"1209",7113,2012
"1210",7114,2012
"1211",7419,2012
"1212",7420,2012
"1213",7114,2013
"1214",7114,2015
"1215",7114,2016
"1216",7113,2022
"1217",7114,2022
"1218",7420,2022
"1219",7114,2024
"1220",6810,2021
"1221",6811,2021
"1222",7116,2021
"1223",7117,2021
"1224",6811,2015
"1225",7117,2015
"1226",7118,2015
"1227",7117,2020
"1228",7118,2020
"1229",7423,2022
"1230",7424,2022
"1231",7423,2012
"1232",7424,2012
"1233",7118,2013
"1234",7117,2014
"1235",7118,2014
"1236",7423,2014
"1237",7424,2014
"1238",7424,2015
"1239",7118,2016
"1240",7423,2018
"1241",7424,2018
"1242",6811,2019
"1243",6812,2019
"1244",7117,2019
"1245",7118,2019
"1246",7414,2011
"1247",7415,2011
"1248",7416,2011
"1249",7720,2011
"1250",7721,2011
"1251",7722,2011
"1252",7414,2012
"1253",7415,2012
"1254",7721,2012
"1255",7415,2013
"1256",7721,2013
"1257",7415,2014
"1258",7721,2014
"1259",7415,2015
"1260",7414,2017
"1261",7415,2017
"1262",7415,2018
"1263",7415,2021
"1264",7721,2021
"1265",7415,2022
"1266",7414,2023
"1267",7415,2023
"1268",7720,2023
"1269",7721,2023
"1270",7423,2017
"1271",7424,2017
"1272",7423,2024
"1273",7424,2011
"1274",7117,2013
"1275",7119,2013
"1276",7423,2013
"1277",7424,2013
"1278",7425,2013
"1279",7117,2016
"1280",7119,2016
"1281",7423,2016
"1282",7424,2016
"1283",7425,2016
"1284",7119,2019
"1285",7423,2019
"1286",7424,2019
"1287",7425,2019
"1288",7424,2020
"1289",7119,2023
"1290",7423,2023
"1291",7424,2023
"1292",7425,2023
"1293",7425,2015
"1294",7731,2019
"1295",7426,2015
"1296",7426,2017
"1297",7425,2018
"1298",7426,2018
"1299",7732,2018
"1300",7426,2019
"1301",7426,2020
"1302",7426,2021
"1303",7426,2023
"1304",7121,2019
"1305",7427,2019
"1306",7465,2024
"1307",7771,2024
"1308",7467,2019
"1309",7468,2019
"1310",7470,2024
"1311",7471,2012
"1312",7777,2012
"1313",7471,2011
"1314",7472,2011
"1315",7777,2011
"1316",7778,2011
"1317",7474,2023
"1318",7475,2023
"1319",7780,2023
"1320",7781,2023
"1321",7478,2014
"1322",7479,2014
"1323",7784,2014
"1324",7785,2014
"1325",7478,2011
"1326",7479,2011
"1327",7784,2011
"1328",7785,2011
"1329",7478,2012
"1330",7479,2012
"1331",7784,2012
"1332",7785,2012
"1333",7510,2016
"1334",7816,2016
"1335",7523,2022
"1336",7546,2018
"1337",7547,2018
"1338",7852,2018
"1339",7853,2018
"1340",7713,2010
"1341",7713,2011
"1342",7714,2011
"1343",7713,2012
"1344",7714,2012
"1345",7712,2015
"1346",7713,2015
"1347",7714,2015
"1348",8019,2015
"1349",7713,2016
"1350",7407,2017
"1351",7712,2017
"1352",7713,2017
"1353",7714,2017
"1354",8019,2017
"1355",7713,2019
"1356",7407,2022
"1357",7712,2022
"1358",7713,2022
"1359",8019,2022
"1360",7721,2015
"1361",7721,2016
"1362",7720,2017
"1363",7721,2017
"1364",7721,2019
"1365",7721,2020
"1366",7415,2024
"1367",7720,2024
"1368",7721,2024
"1369",7726,2015
"1370",7727,2015
"1371",7726,2017
"1372",7726,2018
"1373",7726,2019
"1374",7729,2010
"1375",7729,2011
"1376",7729,2012
"1377",7728,2014
"1378",7729,2014
"1379",7729,2016
"1380",7729,2018
"1381",7729,2021
"1382",7729,2023
"1383",7732,2011
"1384",7733,2011
"1385",7732,2012
"1386",7733,2012
"1387",7732,2013
"1388",7733,2013
"1389",7731,2014
"1390",7732,2014
"1391",7733,2014
"1392",8038,2014
"1393",8039,2014
"1394",7731,2015
"1395",7732,2015
"1396",7732,2019
"1397",7731,2021
"1398",7732,2021
"1399",7733,2021
"1400",8038,2021
"1401",8039,2021
"1402",7732,2023
"1403",7735,2017
"1404",7736,2017
"1405",7739,2024
"1406",7470,2014
"1407",7471,2014
"1408",7776,2014
"1409",7777,2014
"1410",7777,2020
"1411",7508,2016
"1412",7509,2016
"1413",7814,2016
"1414",7815,2016
"1415",7823,2023
"1416",7824,2023
"1417",8129,2023
"1418",8130,2023
"1419",7828,2023
"1420",7829,2023
"1421",7854,2016
"1422",7576,2012
"1423",7881,2012
"1424",7882,2012
"1425",7883,2012
"1426",7882,2021
"1427",7999,2023
"1428",8000,2023
"1429",7720,2012
"1430",8026,2012
"1431",8027,2012
"1432",7720,2013
"1433",8026,2013
"1434",8027,2013
